position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7
28,968.9504217,475.6553331,976.422772,476.5012686,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,988.8333333,493.1666667,990.5655431,533.2871411,996,465.8232154
29,968.922724,475.4795045,976.3801859,476.5017319,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,988.8333333,493.1666667,990.5655431,533.2871411,996,465.8232154
30,969.0032133,475.3542256,976.3626336,476.5003008,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,988.8333333,493.1666667,990.5655431,533.2871411,996,465.8232154
31,968.5171988,474.9342007,976.0901766,476.5020338,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,988.6666667,492.6666667,990.5655431,533.2871411,996,465.8232154
32,968.3835283,474.7602972,975.7615833,476.4633305,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,988.5,493,990.5655431,533.2871411,996,465.8232154
33,968.2129532,474.4597256,975.7247322,476.4654101,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
34,968.1177812,474.3415155,975.244659,476.510658,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
35,967.8515692,473.8798104,975.0417942,476.5042739,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
36,967.8606732,473.3682421,974.9945032,476.4883218,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
37,967.301354,472.8083776,974.704549,476.3906575,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
38,967.561277,472.6591789,974.285954,476.3056078,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
39,967.7467163,472.7996284,974.3010152,476.3074001,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
40,967.5366017,472.2594006,973.7065884,476.0804059,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
41,967.6058252,472.0239906,973.7991106,476.0094438,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
42,967.5923663,471.738202,973.4762523,475.9932886,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
43,967.5124154,470.8504111,972.8593689,475.6044316,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
44,967.6235543,470.4379274,972.9673883,475.3072858,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
45,967.5642182,470.0218331,972.8857637,475.2751225,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
46,967.645572,470.0744094,972.884872,475.2747441,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
47,967.8305618,469.9047273,972.4085684,475.0605878,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
48,967.7683448,468.4337888,971.8084768,474.9521845,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
49,967.7675147,468.4149428,971.7806369,475.0127348,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
50,967.7813201,467.9699723,971.6624072,474.7120309,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
51,968.0029134,467.8204339,971.6598545,474.7124172,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
52,968.1767844,467.3557367,971.4388277,474.6882636,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
53,968.4667105,466.7338274,971.666875,474.7334696,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
54,968.4615405,466.2307937,971.5714371,474.3571474,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
55,968.5002653,466.0031847,971.5727943,474.2154604,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
56,968.6153536,465.3080455,971.0668057,473.8000823,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
57,968.5998028,464.8688588,970.7509059,473.0631915,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
58,968.6873822,464.6886335,970.7504883,473.0628705,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
59,968.8122591,464.0646765,970.3341851,472.3342438,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
60,969.1106232,463.9473148,970.5729475,472.2871086,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
61,969.1665888,463.3359837,970.3855127,471.7710242,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
62,969.4285299,462.4288013,970.200064,471.4000784,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
63,969.705596,462.1200341,970.2148844,471.0014788,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
64,969.7499467,461.3127186,970.1429327,470.7858184,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
65,970.1170768,461.1794442,970.143566,470.1448064,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
66,970.1999934,460.4000365,969.916673,469.750019,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
67,970.1974662,460.411813,969.7159103,469.2931644,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
68,970.4115906,460.0595564,969.9287105,469.0718885,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
69,970.5597993,459.4471214,969.8014796,468.4062906,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
70,970.6248283,459.0631277,969.8462639,468.0773233,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
71,971.1306768,458.6067348,969.7152394,467.3616333,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
72,971.5261204,457.7901962,969.8124953,467.1879404,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
73,971.5789451,457.000008,969.7333335,467.0000044,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
74,971.8234774,456.5295782,969.8125003,466.1875871,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
75,971.9365656,456.0027669,969.7057932,465.5309446,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
76,972.1999962,455.4000112,969.5384607,464.7692362,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
77,972.1866844,455.1271908,969.5712459,464.5014922,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
78,972.2351953,455.2355453,969.5384371,463.7693884,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
79,972.3863665,454.7277965,969.5708454,463.5047608,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
80,972.2938408,454.5889044,969.6922534,462.8466003,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
81,972.3656246,454.153655,970.1798953,462.8396232,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
82,972.4332271,453.887902,970.2653921,462.0080842,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
83,972.4434586,453.5033737,970.2662508,462.0021926,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
84,972.34892,453.1444522,970.6118955,461.6855227,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
85,972.1873747,453.1889193,970.6872591,461.7506709,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
86,972.3324078,452.5423119,970.8651794,460.9381617,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
87,972.2664557,452.1355816,970.866341,460.9344574,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
88,972.6426009,451.0729502,971.1763722,459.9417945,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
89,972.6666937,450.7350359,971.1760893,459.8830442,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
90,972.7853169,450.0021004,971.1873582,459.1884766,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
91,972.9992383,450.2704006,971.1871072,459.1894474,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
92,973.1307945,449.2115085,971.2931345,458.5356118,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
93,973.1874389,448.5628119,971.3124703,458.3126604,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
94,973.1644178,448.3442573,971.4987558,457.5087089,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
95,973.1873457,448.0007326,971.499941,457.0004184,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
96,973.2182893,447.8832144,971.5200113,456.8398894,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
97,973.3570635,447.3574984,971.7333133,456.0001692,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
98,973.3970177,447.1439987,971.8663093,455.1401133,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
99,973.3698884,447.3923971,971.8661725,455.1454366,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
100,973.1079548,447.3581904,971.8590562,454.5532449,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
101,973.1746011,446.744002,971.9536929,454.2278503,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
102,973.2339694,445.9051278,972.0063832,453.4036226,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
103,973.1015936,444.8803248,971.9169436,453.2557557,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
104,972.9983363,444.7537943,972.0554439,453.2185941,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
105,972.6875007,443.1875587,972.1333275,452.866693,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
106,972.75,442.7500031,972.1428568,452.6428584,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
107,972.7333339,442.0000333,972.1874971,452.1875142,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
108,972.6000045,441.1336876,972.2222022,451.5557084,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
109,972.6000003,440.6666766,972.3124993,451.187504,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
110,972.5,440.0000004,972.2666667,451.0000001,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
111,972.5714286,439.3571437,972.4615384,449.7692311,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
112,972.4615466,439.2308719,972.5384545,449.2308182,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
113,972.5000002,438.5000023,972.4999998,449.0000011,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
114,972.3571608,438.0716218,972.5999896,448.6000937,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
115,972.1333407,438.1333919,972.6428539,448.2857443,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
116,972.0001539,437.7509622,972.6427944,447.3577335,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
117,971.9375048,437.0625407,972.6874996,447.1875187,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
118,972.0001794,437.0013872,972.5999592,446.1340578,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
119,971.6875967,436.7508141,972.6000236,446.1337686,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
120,971.6684254,436.5465325,972.6004966,445.1409301,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
121,971.705096,436.9836476,972.4960969,444.4756465,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
122,971.3960311,436.058546,972.4691853,444.2841163,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
123,971.3680526,436.251645,972.196067,443.838156,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
