position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,,,,
32,1602.635762,82.91950853,1604.558395,71.94332398,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
33,1602.32664,83.82645627,1604.69523,71.80167816,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
34,1601.620405,84.99903705,1605.430595,72.97534376,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
35,1601.600581,85.19554796,1605.807894,73.58673089,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
36,1601.058144,85.97980671,1606.016276,74.24101533,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
37,1601.226198,85.85182195,1606.204684,74.50882817,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
38,1600.465329,87.18203825,1605.740149,76.14034482,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
39,1599.611637,88.46855448,1605.455926,76.5920021,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
40,1599.261192,88.33853725,1605.77181,75.48060782,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
41,1598.529272,89.64723715,1605.672922,75.67347237,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
42,1598.268772,90.03878968,1605.587947,75.84426953,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
43,1598.016855,90.46218964,1605.638327,76.14686071,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
44,1597.394932,91.10413525,1605.421479,76.77617931,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
45,1597.134817,91.2189381,1604.996678,77.15295559,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
46,1596.627957,92.35687134,1604.23907,78.44299542,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
47,1596.100584,93.02472664,1603.747739,79.72824009,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
48,1595.908339,93.40591978,1603.32282,80.3443736,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
49,1595.71671,93.68436793,1603.384217,80.12610432,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
50,1595.708596,93.78905006,1602.965129,80.87245773,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
51,1595.757729,93.81826733,1602.661454,81.42155035,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
