position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
97,1562.821429,47.96428571,1573.28125,44.6875,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
98,1562.814815,48.59259259,1573.28125,44.6875,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
99,1563.07864,48.95763597,1573.163664,44.76136885,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
100,1563.65466,48.68770995,1573.091667,44.7107579,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
101,1564.150147,48.23849165,1572.589186,44.54063879,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
102,1564.128056,48.32435625,1573.063565,44.13342638,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
103,1564.124004,48.21956284,1573.437757,44.14553448,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
104,1564.254673,48.35741067,1573.551248,44.10750321,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
105,1564.290094,48.33098836,1573.770057,44.06019532,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
106,1564.269433,48.62717143,1573.718956,44.07339013,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
107,1564.495312,48.50459177,1574.038833,44.04832378,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
108,1564.463109,49.08964334,1573.905724,44.20880561,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
109,1564.554795,49.30128356,1573.935627,44.29431939,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
110,1565.247198,49.07362187,1573.280081,44.35989944,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
111,1564.841973,49.67772795,1573.217143,44.35623703,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
112,1564.840056,50.46153929,1572.4592,44.26141015,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
113,1565.074421,50.92624247,1572.427781,44.32153267,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
114,1564.861149,51.96721812,1571.480836,44.38086727,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
115,1565.096748,52.06453927,1571.785672,44.21434331,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
116,1565.258065,52.80645156,1571.777778,44.25925925,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
117,1565.692308,52.88461542,1571.24,44.24000004,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
