Leader,Follower,Time,Colony,ColonySize,Date
XB-, -SG,12.16,DI-325,192,20.9.2013
 --B,BXB,12.17,DI-325,192,20.9.2013
 -XS,XBB,12.17,DI-325,192,20.9.2013
W--,GGB,12.17,DI-325,192,20.9.2013
XB-,BX-,12.17,DI-325,192,20.9.2013
YY-, -XW,12.17,DI-325,192,20.9.2013
SXS,XX-,12.18,DI-325,192,20.9.2013
XB-,SWS,12.18,DI-325,192,20.9.2013
B-X,X-X,12.18,DI-325,192,20.9.2013
SXS,OSS,12.18,DI-325,192,20.9.2013
GGG,SOO,12.18,DI-325,192,20.9.2013
 --B,OOX,12.18,DI-325,192,20.9.2013
XB-,OO-,12.19,DI-325,192,20.9.2013
W--,SSW,12.19,DI-325,192,20.9.2013
GG-,Y-S,12.19,DI-325,192,20.9.2013
SXS, -WW,12.19,DI-325,192,20.9.2013
YY-,X-Y,12.2,DI-325,192,20.9.2013
XB-,XO-,12.21,DI-325,192,20.9.2013
 --G,XYY,12.21,DI-325,192,20.9.2013
B-X,XXY,12.21,DI-325,192,20.9.2013
XB-,GX-,12.21,DI-325,192,20.9.2013
OOO,SSO,12.21,DI-325,192,20.9.2013
SXS,XXS,12.21,DI-325,192,20.9.2013
OOO, -YS,12.22,DI-325,192,20.9.2013
SXS,SX-,12.22,DI-325,192,20.9.2013
GG-,SSY,12.22,DI-325,192,20.9.2013
 --B, -GB,12.22,DI-325,192,20.9.2013
 -XS, -OS,12.22,DI-325,192,20.9.2013
B-X, -SX,12.22,DI-325,192,20.9.2013
XXX,WWW,12.23,DI-325,192,20.9.2013
 -XS,XY-,12.23,DI-325,192,20.9.2013
YY-,XGX,12.24,DI-325,192,20.9.2013
BX-,WXX,12.24,DI-325,192,20.9.2013
G--,WWX,12.24,DI-325,192,20.9.2013
 -XS,SBS,12.24,DI-325,192,20.9.2013
XB-,XXS,12.24,DI-325,192,20.9.2013
 --B,BBG,12.25,DI-325,192,20.9.2013
 --G,GB-,12.25,DI-325,192,20.9.2013
SSX, -GX,12.25,DI-325,192,20.9.2013
B-X,YSY,12.25,DI-325,192,20.9.2013
YY-,WSW,12.25,DI-325,192,20.9.2013
GG-,SSG,12.25,DI-325,192,20.9.2013
 --Y,SYS,12.26,DI-325,192,20.9.2013
XB-,SW-,12.27,DI-325,192,20.9.2013
 --S, -S-,12.27,DI-325,192,20.9.2013
 --B,XOX,12.28,DI-325,192,20.9.2013
G--, -XY,12.29,DI-325,192,20.9.2013
 -XS,XBX,12.29,DI-325,192,20.9.2013
XB-,SGS,12.3,DI-325,192,20.9.2013
 --Y, -W-,12.3,DI-325,192,20.9.2013
 --G,S-G,12.3,DI-325,192,20.9.2013
G--, -XO,12.3,DI-325,192,20.9.2013
XB-,XSS,12.31,DI-325,192,20.9.2013
 --Y,GSG,12.32,DI-325,192,20.9.2013
XB-,WS-,12.33,DI-325,192,20.9.2013
 -XS, -OX,12.33,DI-325,192,20.9.2013
XB-, --S,12.36,DI-325,192,20.9.2013
XS-, -GG,12.49,DI-325,192,20.9.2013
S-S,Y-Y,12.52,DI-325,192,20.9.2013
S-S, --O,12.53,DI-325,192,20.9.2013
S-S, -OO,12.59,DI-325,192,20.9.2013
W--,GXG,13.03,DI-325,192,20.9.2013
B-B,W-X,12.25,DI-331,126,2.10.2013
B-B, -YY,12.26,DI-331,126,2.10.2013
B-B,OXO,12.26,DI-331,126,2.10.2013
B-B,XXX,12.27,DI-331,126,2.10.2013
B-B, -B-,12.28,DI-331,126,2.10.2013
B-B,BB-,12.28,DI-331,126,2.10.2013
B-B,O-O,12.3,DI-331,126,2.10.2013
 -B-, -X-,12.31,DI-331,126,2.10.2013
B-B, -SS,12.31,DI-331,126,2.10.2013
BB-,OOO,12.32,DI-331,126,2.10.2013
XX-, -G-,12.32,DI-331,126,2.10.2013
 -B-,YY-,12.32,DI-331,126,2.10.2013
XX-,XXY,12.32,DI-331,126,2.10.2013
