SET,Treatment,Colony,Emigration,Leader,Follower,Time_Start,Time_Stop,Leaves_From,Arrives_at,Target,Success_or_Fail_or_Switch,BREAK_UP,X,Y,Nth_Tandem,Leader_Consist_Lead,Follower_Consist_Foll
3,Control,3_4,3,YYRW,PGGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,3,3
3,Control,3_4,3,RWYG,YPWY,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,2,3
3,Control,3_4,3,PGRR,RYRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,4,3
3,Control,3_4,3,YYRW,WYBW,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,3,1
3,Control,3_4,3,BYBR,YRWB,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,2,3
3,Control,3_4,3,PRRG,YYWG,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,3,2
3,Control,3_4,3,RGBP,BBWP,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,4,4
3,Control,3_4,3,RWYG,WRYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,2,3
3,Control,3_4,3,WRYP,PYGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,4,2
3,Control,3_4,3,YPWY,RYRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,2,3
3,Control,3_4,3,PGGY,PWGW,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4,4
3,Control,3_4,3,YRWB,WGBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,3,4
3,Control,3_4,3,YBRG,PWGW,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,2,4
3,Control,3_4,3,PPBP,GBWW,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,1,2
3,Control,3_4,3,GBPB,PGPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,2,2
3,Control,3_4,3,BBWP,PWBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,2,3
3,Control,3_4,3,WGBB,YGGB,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,3,2
3,Control,3_4,3,PGRR,WBYW,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,4,4
3,Control,3_4,3,BBWP,YRGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,2,2
3,Control,3_4,3,BYBR,GBPB,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,2,4
3,Control,3_4,3,PGRR,RBYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,4,4
3,Control,3_4,4,GPWR,GPBY,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1
3,Control,3_4,4,WRYP,PGGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3
3,Control,3_4,4,GPWR,GGYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4
3,Control,3_4,4,YYYR,RGRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4
3,Control,3_4,4,GBYR,PPBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4
3,Control,3_4,4,BPGG,WBRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,1
3,Control,3_4,4,YYRW,BBWP,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,4
3,Control,3_4,4,PGGY,YBRG,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,3
3,Control,3_4,4,GBYR,BBYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,4
3,Control,3_4,4,GPWR,GBPB,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,4
3,Control,3_4,4,BPGG,YBRG,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3,3
3,Control,3_4,4,RGBP,WBRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,1
3,Control,3_4,4,GBYR,PPPY,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4,3
3,Control,3_4,4,PRRG,YRGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,3,2
3,Control,3_4,4,GPWR,PGRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2,3
3,Control,3_4,4,RGBP,WBRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,4,1
3,Control,3_4,4,BPGG,RBYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3,4
3,Control,3_4,4,PRRG,WGBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,4
3,Control,3_4,4,GBYR,PRPB,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,4,2
