Genus,Species,"Detailed Foraging Type; 0=Solitary, 1=tandem behavior, 2=mass recruitment, 3=group recruitment, 4=group hunting/raiding, 5=trunk trails/long-term trail network [See Table 1 for Definitions & Reduced Parameters]"
Technomyrmex,albipes,5
Temnothorax,americanus,1
Temnothorax,curvispinosus,1
Temnothorax,duloticus,1
Temnothorax,longispinosus,1
Temnothorax,nylanderi,1
Temnothorax,pergandei,1
Temnothorax,unifasciatus,1
Terataner,alluaudi,0&3
Terataner,foreli,0&3
Tetramorium,decem,0
Tetramorium,semilaeve,2
Tetramorium,uelense,?
Tetramorium_GroupC,impurum,3
Tetramorium_GroupD,caespitum,2
Tetramorium_GroupF,bicarinatum,3
Tetraponera,rufonigra,5
Thaumatomyrmex,contumax,0
Trachymyrmex,turrifex,0
Trachymyrmex_GroupA,urichi,0&2
Trachymyrmex_GroupE,septentrionalis,5
Trichomyrmex,destructor,2
Veromessor,andrei,5
Veromessor,chamberlini,0&5
Veromessor,chicoensis,0
Veromessor,julianus,5
Veromessor,lobognathus,0
Veromessor,pergandei,5
Veromessor,smithi,0
Veromessor,stoddardi,0
Wasmannia,auropunctata,5
Xenomyrmex,floridanus,2
Zasphinctus,steinheili,4
Zatania,cisipa,5
