Colony_ID Replicate Leader Follower StartTime EndTime Origin target_choice Target_Nest Origin_Y TandEnd_X TandEnd_Y Fail.Success
3 1 16A 55 8400 8663 Original L 36 39 19 17 Fail
3 1 94 3A7 8510 8770 Original R 36 39 56 4 Success
3 1 F3 30 8730 8902 Original L 36 39 16 4 Success
3 1 9D 25 8767 8990 Original R 36 39 64 12 Fail
3 1 90 12 9035 9100 Original L 36 39 22 24 Fail
3 1 142 238 9052 9115 Original L 36 39 25 30 Fail
3 1 20 1D5 9050 9269 Original L 36 39 16 4 Success
3 1 2F9 31 9360 9522 Original L 36 39 16 4 Success
3 1 30 28 9620 9750 Original L 36 39 16 4 Success
3 1 23 12 9620 9922 Original L 36 39 16 4 Success
3 1 94 20A 9770 9936 Original R 36 39 56 4 Success
3 1 92 26 10000 10190 Original R 36 39 63 10 Fail
3 1 111 359 10015 10215 Original R 36 39 56 4 Success
3 1 25 F3 10305 10432 Original L 36 39 16 4 Success
3 1 332 30 10260 10490 Original L 36 39 7 5 Fail
3 1 94 103 11000 11170 Right L 56 4 56 3 Fail
3 1 353 26 11040 11373 Original L 36 39 16 4 Success
3 1 332 16A 11120 11165 Original L 36 39 28 37 Fail
3 1 30 30D 11220 11373 Original L 36 39 16 4 Success
3 1 332 11 11760 12303 Original L 36 39 3 24 Fail
3 1 332 94 13040 13335 Original L 36 39 16 4 Success
3 1 240 103 13608 13954 Right I 56 4 36 39 Success
3 1 240 30 14210 14427 Right I 56 4 36 39 Success
3 1 240 A0 14640 15005 Right I 56 4 63 20 Fail
3 2 16A 128 3105 3621 Original R 36 39 56 4 Success
3 2 353 1D5 3480 4150 Original L 36 39 15 14 Fail
3 2 94 30 4540 4599 Original R 36 39 40 30 Fail
3 2 275 23 5470 5652 Original R 36 39 48 22 Fail
3 2 111 332 5528 5730 Original R 36 39 56 4 Success
3 2 90 18 5958 6098 Original L 36 39 13 21 Fail
3 2 30 26 6040 6150 Original R 36 39 60 11 Fail
3 2 111 103 6230 6280 Original R 36 39 41 30 Fail
3 2 111 353 6230 6363 Original R 36 39 56 4 Success
3 2 275 31 6182 6679 Original R 36 39 56 4 Success
3 2 30 332 6457 6596 Original R 36 39 56 4 Success
3 2 3A7 272 6600 6668 Original L 36 39 24 28 Fail
3 2 90 240 6600 6722 Original L 36 39 16 4 Success
3 2 55 236 6708 6870 Original L 36 39 26 24 Fail
